mode,m,call_count,experts,hidden_size,intermediate_size,topk,group_size,gems_us,native_us,speedup
cudagraph,336,172,256,4096,256,6,128,2479.7100067138676,3982.649688720703,1.6060949376893243
cudagraph,352,172,256,4096,256,6,128,2483.605480194092,3987.0552062988286,1.6053496572198105
cudagraph,368,172,256,4096,256,6,128,2524.7584611941606,4101.248264312744,1.6244121278725947
cudagraph,384,172,256,4096,256,6,128,2504.40666003105,4079.6267191569004,1.628979344395419
cudagraph,400,172,256,4096,256,6,128,2522.19488681891,4123.908360799154,1.6350474669308315
cudagraph,416,172,256,4096,256,6,128,2551.6784863594253,4137.218475341797,1.6213713825853198
cudagraph,432,172,256,4096,256,6,128,2552.9836018880205,4149.860858917236,1.6254945217228458
cudagraph,448,172,256,4096,256,6,128,2582.6673005756575,4223.5260009765625,1.6353349113279785
cudagraph,464,172,256,4096,256,6,128,2583.592163889032,4235.943504001783,1.639555794915208
cudagraph,480,172,256,4096,256,6,128,2638.7032173775337,4343.340002972146,1.6460130773208972
cudagraph,496,344,256,4096,256,6,128,2693.092964790963,4455.501729791815,1.6544180940065132
cudagraph,512,344,256,4096,256,6,128,2794.733210972377,4482.467304576528,1.6038981062585695
cudagraph,2048,43,256,4096,256,6,128,5398.575676812066,20711.22455596924,3.836423863599427
cudagraph,16384,946,256,4096,256,6,128,29145.187377929688,132184.08203125,4.535365661479567
